node ID: 1323, ground truth SMILE: C1=CC(=CC=C1C=O)O
top 20 test cadidates: 
smiles: C1=CC=C(C=C1)[OH+][C-]=O, s:  0.02470
smiles: [CH]CC(=O)C1=CC=CO1, s:  0.01933
smiles: C1=CC=C(C=C1)C(=O)O, s:  0.01835
smiles: C1=CC=C(C(=O)C=C1)O, s:  0.01830
smiles: C1=CC=C(C=C1)OC=O, s:  0.01781
smiles: C=C(C=O)C1=CC=CO1, s:  0.01636
smiles: C1=CC=C(C(=C1)C=O)O, s:  0.01633
smiles: [H+].C1=CC=C(C=C1)C(=O)[O-], s:  0.01249
smiles: C1=CC(=CC(=O)C=C1)O, s:  0.01051
smiles: C1=CC(=CC(=C1)O)C=O, s:  0.00982
smiles: C1=CC(=CC=C1C=O)O, s:  0.00833
smiles: C#CC#CCCC(=O)O, s:  0.00750
smiles: C=CC(=O)C1=CC=CO1, s:  0.00744
smiles: C1=CC(=C(C=O)O)C=C1, s:  0.00732
smiles: C1=CC(=O)C=CC(=C1)O, s:  0.00697
smiles: C1C=CC=C1C(=O)C=O, s:  0.00681
smiles: C1=CC=C(C=C1)C(=[O+])O, s:  0.00677
smiles: C1=COC(=C1)C=CC=O, s:  0.00643
smiles: C1=COC(=C1)/C=C/C=O, s:  0.00643
smiles: C1=COC(=C1)/C=C\C=O, s:  0.00643
node ID: 2704, ground truth SMILE: CN(C)C(=O)NC1=CC=CC=C1
top 20 test cadidates: 
smiles: CN(C)C(=O)NC1=CC=CC=C1, s:  0.04373
smiles: CC(=O)N(C)NC1=CC=CC=C1, s:  0.00410
smiles: CCC(=O)NC1=CC=C(C=C1)N, s:  0.00393
smiles: CC(C(=O)NC1=CC=CC=C1)N, s:  0.00361
smiles: C[C@H](C(=O)NC1=CC=CC=C1)N, s:  0.00361
smiles: C[C@@H](C(=O)NC1=CC=CC=C1)N, s:  0.00361
smiles: CN(C)C(=O)C1=CC=C(C=C1)N, s:  0.00358
smiles: C[C@@H](C1=CC=C(C=C1)N)C(=O)N, s:  0.00286
smiles: C[C@H](C1=CC=C(C=C1)N)C(=O)N, s:  0.00286
smiles: CC(C1=CC=C(C=C1)N)C(=O)N, s:  0.00286
smiles: C[C@@H](C(=O)N)NC1=CC=CC=C1, s:  0.00272
smiles: CC(C(=O)N)NC1=CC=CC=C1, s:  0.00272
smiles: C[C@H](C(=O)N)NC1=CC=CC=C1, s:  0.00272
smiles: CN(C)C(=O)C1=CNC=CC=C1, s:  0.00242
smiles: CC(C(=O)C1=CC=C(C=C1)N)N, s:  0.00224
smiles: CN(C)C(=O)C1=CC=CC=C1N, s:  0.00213
smiles: CC(=O)C(C1=CC=C(C=C1)N)N, s:  0.00213
smiles: CCN(C=O)NC1=CC=CC=C1, s:  0.00207
smiles: COC(=C)NC1=CC=C(C=C1)N, s:  0.00204
smiles: CN(C)C(=O)CC1=CC=NC=C1, s:  0.00199
node ID: 2673, ground truth SMILE: CC(=NCCC1=CC=NC=C1)N
top 20 test cadidates: 
smiles: CCN(C1=CC=CC=C1)C(=N)N, s:  0.03232
smiles: CCC(=N)N(C1=CC=CC=C1)N, s:  0.01799
smiles: CN(CC(=N)N)C1=CC=CC=C1, s:  0.01310
smiles: C/C(=C/N(C1=CC=CC=C1)N)/N, s:  0.00746
smiles: CN(C)C1=CC=CC(=C1)C(=N)N, s:  0.00731
smiles: CN(CC1=CC=CC=C1)C(=N)N, s:  0.00729
smiles: CN(C)N=C(C1=CC=CC=C1)N, s:  0.00611
smiles: CN(C)/N=C(/C1=CC=CC=C1)\N, s:  0.00611
smiles: CN(C)/N=C(\C1=CC=CC=C1)/N, s:  0.00611
smiles: CN(C)C1=CC=CC=C1C(=N)N, s:  0.00589
smiles: C/C(=C/N)/N(C1=CC=CC=C1)N, s:  0.00585
smiles: CN(C)C(=N)C1=CC=CC=C1N, s:  0.00564
smiles: CN(C)C1=CC=C(C=C1)C(=N)N, s:  0.00468
smiles: CN(C)C(=NC1=CC=CC=C1)N, s:  0.00468
smiles: CN=C(N)N(C)C1=CC=CC=C1, s:  0.00419
smiles: CN(CN)C(=N)C1=CC=CC=C1, s:  0.00381
smiles: CC1=CC(=CC=C1)N(C)C(=N)N, s:  0.00381
smiles: CC(C1=CC=CC=C1)(C(=N)N)N, s:  0.00352
smiles: CC(C(=N)N)NC1=CC=CC=C1, s:  0.00338
smiles: C1=CC=C(C=C1)NCCC(=N)N, s:  0.00326
node ID: 1766, ground truth SMILE: C1=CC(=CC(=C1)N)C(=O)N
top 20 test cadidates: 
smiles: C1=CC=C(C=C1)NC(=O)N, s:  0.02150
smiles: C1=CC=C(C=C1)N(C=O)N, s:  0.01239
smiles: C1=CC=C(C(=C1)C(=O)N)N, s:  0.01223
smiles: CC1=NC(=CC=C1)C(=O)N, s:  0.00758
smiles: CN(C1=CC=CC=C1)N=O, s:  0.00723
smiles: C1=CC=NC(=C1)CC(=O)N, s:  0.00711
smiles: C1=CC=C(C=C1)N(C=N)O, s:  0.00666
smiles: C1=CC(=CC(=C1)N)C(=O)N, s:  0.00598
smiles: C1=CC=C(C=C1)NNC=O, s:  0.00555
smiles: C1=CC(=CC=C1C(=O)N)N, s:  0.00516
smiles: CC1=C(C=CC=N1)C(=O)N, s:  0.00454
smiles: CC1=C(N=CC=C1)C(=O)N, s:  0.00454
smiles: C1=CC(=CN=C1)CC(=O)N, s:  0.00435
smiles: C1=CNC(=C1)C=CC(=O)N, s:  0.00428
smiles: C1=CNC(=C1)/C=C/C(=O)N, s:  0.00428
smiles: C1=CC=C(C(=C1)CN=O)N, s:  0.00415
smiles: C=C(C1=CC=CN1)C(=O)N, s:  0.00412
smiles: C1=CN=CC=C1CC(=O)N, s:  0.00402
smiles: C1=CC=C(C=C1)/C(=N\O)/N, s:  0.00370
smiles: C1=CC=C(C=C1)C(=NO)N, s:  0.00370
node ID: 5758, ground truth SMILE: CCCCC(CC)CNCC(CC)CCCC
top 20 test cadidates: 
smiles: CCCC[C@@H](CC)CNC[C@H](CC)CCCC, s:  0.15780
smiles: CCCC[C@H](CC)CNC[C@@H](CC)CCCC, s:  0.15780
smiles: CCCC[C@@H](CC)CNC[C@@H](CC)CCCC, s:  0.15780
smiles: CCCCC(CC)CNCC(CC)CCCC, s:  0.15780
smiles: CCCC[C@@H](CC)CNCC(CC)CCCC, s:  0.15780
smiles: CCCCC(CC)CNCC(C(C)C)C(C)C, s:  0.01313
smiles: CCCCCC(C)CNCC(CC)CCCC, s:  0.00964
smiles: CCCCC(CC)CCC(CC)CNCCC, s:  0.00906
smiles: CCCCCCCCNCC(CC)CCCC, s:  0.00859
smiles: CCCCCCCCC(CC)CNCC(C)C, s:  0.00739
smiles: CCCCCCCCCCC(CC)CNCC, s:  0.00597
smiles: CCCCC(CC)CC(CC)CNCC(C)C, s:  0.00560
smiles: CCCCCCCCCC(CC)CNCCC, s:  0.00444
smiles: CCCCCC(CCC)CNCC(CC)CC, s:  0.00442
smiles: CCCCCCC(CC)CNCCCCCC, s:  0.00333
smiles: CCCCC(CC)CNCCCCCC(C)C, s:  0.00295
smiles: CCCCC(CC)CCC(C)CNCC(C)C, s:  0.00237
smiles: CCCCC(CC)CNCCC(C)CC(C)C, s:  0.00237
smiles: CCCCC(CC)CNC(CCC)CCCC, s:  0.00219
smiles: CCCCC(CC)CC(CCC)CNCCC, s:  0.00215
node ID: 4532, ground truth SMILE: CCCCCCCCCCCCCCN
top 20 test cadidates: 
smiles: CCCCCCCCCCCCCCN, s:  0.26172
smiles: CCCCC(CC)CNCC(CC)CC, s:  0.17448
smiles: CCCCCCCC(CC)CCCCN, s:  0.04040
smiles: CCCCCCNCC(CC)CCCC, s:  0.02693
smiles: CCCCCCC(CC)CNCC(C)C, s:  0.01740
smiles: CCCCCCCCC(CC)CNCC, s:  0.01684
smiles: CCCCCCC(CCCC)CCCN, s:  0.01652
smiles: CCCCC(CC)CNCC(C)CCC, s:  0.01604
smiles: CCCCC(CC)CNC[C@@H](C)C(C)C, s:  0.01604
smiles: CCCCC(CC)CNCC(C)C(C)C, s:  0.01604
