node ID: 1323, ground truth SMILE: C1=CC(=CC=C1C=O)O
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)[OH+][C-]=O, s:  0.02470
smiles: [CH]CC(=O)C1=CC=CO1, s:  0.01933
smiles: C1=CC=C(C=C1)C(=O)O, s:  0.01835
smiles: C1=CC=C(C(=O)C=C1)O, s:  0.01830
smiles: C1=CC=C(C=C1)OC=O, s:  0.01781
smiles: C=C(C=O)C1=CC=CO1, s:  0.01636
smiles: C1=CC=C(C(=C1)C=O)O, s:  0.01633
smiles: [H+].C1=CC=C(C=C1)C(=O)[O-], s:  0.01249
smiles: C1=CC(=CC(=O)C=C1)O, s:  0.01051
smiles: C1=CC(=CC(=C1)O)C=O, s:  0.00982
node ID: 2704, ground truth SMILE: CN(C)C(=O)NC1=CC=CC=C1
top 10 test cadidates: 
smiles: CN(C)C(=O)NC1=CC=CC=C1, s:  0.04373
smiles: CC(=O)N(C)NC1=CC=CC=C1, s:  0.00410
smiles: CCC(=O)NC1=CC=C(C=C1)N, s:  0.00393
smiles: C[C@@H](C(=O)NC1=CC=CC=C1)N, s:  0.00361
smiles: C[C@H](C(=O)NC1=CC=CC=C1)N, s:  0.00361
smiles: CC(C(=O)NC1=CC=CC=C1)N, s:  0.00361
smiles: CN(C)C(=O)C1=CC=C(C=C1)N, s:  0.00358
smiles: C[C@@H](C1=CC=C(C=C1)N)C(=O)N, s:  0.00286
smiles: C[C@H](C1=CC=C(C=C1)N)C(=O)N, s:  0.00286
smiles: CC(C1=CC=C(C=C1)N)C(=O)N, s:  0.00286
node ID: 2673, ground truth SMILE: CC(=NCCC1=CC=NC=C1)N
top 10 test cadidates: 
smiles: CCN(C1=CC=CC=C1)C(=N)N, s:  0.03232
smiles: CCC(=N)N(C1=CC=CC=C1)N, s:  0.01799
smiles: CN(CC(=N)N)C1=CC=CC=C1, s:  0.01310
smiles: C/C(=C/N(C1=CC=CC=C1)N)/N, s:  0.00746
smiles: CN(C)C1=CC=CC(=C1)C(=N)N, s:  0.00731
smiles: CN(CC1=CC=CC=C1)C(=N)N, s:  0.00729
smiles: CN(C)/N=C(\C1=CC=CC=C1)/N, s:  0.00611
smiles: CN(C)N=C(C1=CC=CC=C1)N, s:  0.00611
smiles: CN(C)/N=C(/C1=CC=CC=C1)\N, s:  0.00611
smiles: CN(C)C1=CC=CC=C1C(=N)N, s:  0.00589
node ID: 1766, ground truth SMILE: C1=CC(=CC(=C1)N)C(=O)N
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)NC(=O)N, s:  0.02150
smiles: C1=CC=C(C=C1)N(C=O)N, s:  0.01239
smiles: C1=CC=C(C(=C1)C(=O)N)N, s:  0.01223
smiles: CC1=NC(=CC=C1)C(=O)N, s:  0.00758
smiles: CN(C1=CC=CC=C1)N=O, s:  0.00723
smiles: C1=CC=NC(=C1)CC(=O)N, s:  0.00711
smiles: C1=CC=C(C=C1)N(C=N)O, s:  0.00666
smiles: C1=CC(=CC(=C1)N)C(=O)N, s:  0.00598
smiles: C1=CC=C(C=C1)NNC=O, s:  0.00555
smiles: C1=CC(=CC=C1C(=O)N)N, s:  0.00516
node ID: 5758, ground truth SMILE: CCCCC(CC)CNCC(CC)CCCC
top 10 test cadidates: 
smiles: CCCCC(CC)CNCC(CC)CCCC, s:  0.15780
smiles: CCCC[C@H](CC)CNC[C@@H](CC)CCCC, s:  0.15780
smiles: CCCC[C@@H](CC)CNC[C@H](CC)CCCC, s:  0.15780
smiles: CCCC[C@@H](CC)CNCC(CC)CCCC, s:  0.15780
smiles: CCCC[C@@H](CC)CNC[C@@H](CC)CCCC, s:  0.15780
smiles: CCCCC(CC)CNCC(C(C)C)C(C)C, s:  0.01313
smiles: CCCCCC(C)CNCC(CC)CCCC, s:  0.00964
smiles: CCCCC(CC)CCC(CC)CNCCC, s:  0.00906
smiles: CCCCCCCCNCC(CC)CCCC, s:  0.00859
smiles: CCCCCCCCC(CC)CNCC(C)C, s:  0.00739
node ID: 4532, ground truth SMILE: CCCCCCCCCCCCCCN
top 10 test cadidates: 
smiles: CCCCCCCCCCCCCCN, s:  0.26172
smiles: CCCCC(CC)CNCC(CC)CC, s:  0.17448
smiles: CCCCCCCC(CC)CCCCN, s:  0.04040
smiles: CCCCCCNCC(CC)CCCC, s:  0.02693
smiles: CCCCCCC(CC)CNCC(C)C, s:  0.01740
smiles: CCCCCCCCC(CC)CNCC, s:  0.01684
smiles: CCCCCCC(CCCC)CCCN, s:  0.01652
smiles: CCCCC(CC)CNC[C@@H](C)C(C)C, s:  0.01604
smiles: CCCCC(CC)CNCC(C)CCC, s:  0.01604
smiles: CCCCC(CC)CNCC(C)C(C)C, s:  0.01604
node ID: 6385, ground truth SMILE: CCCCCCCCCCCCCCCC(=O)N
top 10 test cadidates: 
smiles: CCCCCCCCCCCCCCCC(=O)N, s:  0.99543
smiles: CCCCCCCCC(C)CCCCCC(=O)N, s:  0.00202
smiles: CCCCCCCCCCCCCCC(=O)CN, s:  0.00024
smiles: CCCCCCCCCC(CC)CCCC(=O)N, s:  0.00018
smiles: CCCCCCCCCCCCCC(=O)CCN, s:  0.00014
smiles: CCCCCCC(CCCCCC)CCC(=O)N, s:  0.00013
smiles: CCCCCCCCCC(C)(C)CCCC(=O)N, s:  0.00010
smiles: CCCCCCCCCCCCC(=O)CCCN, s:  0.00009
smiles: CCCCCCCCCCCCCC(=O)C(C)N, s:  0.00008
smiles: CCC(CC)CCCCCCCCCCC(=O)N, s:  0.00008
node ID: 5443, ground truth SMILE: CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O
top 10 test cadidates: 
smiles: CCCCCCCCC1=CC2=C(C=C1)OCO2, s:  0.00098
smiles: CC(C)CC(C1=CC2=C(C=C1)OCO2)C(C)C, s:  0.00091
smiles: C[C@@H](CCC(C)C)CC1=CC2=C(C=C1)OCO2, s:  0.00085
smiles: CC(C)(C)CC(C)(C)C1=CC2=C(C=C1)OCO2, s:  0.00079
smiles: CC(C)[C@@H](C1=CC2=C(C=C1)OCO2)C(C)(C)C, s:  0.00079
smiles: CC(C)C(C1=CC2=C(C=C1)OCO2)C(C)(C)C, s:  0.00079
smiles: CC(C1=CC2=C(C=C1)OCO2)C(C)C(C)(C)C, s:  0.00074
smiles: CC(C)(C)CCCCC1=CC2=C(C=C1)OCO2, s:  0.00065
smiles: CCCC(CCC)CC1=CC2=C(C=C1)OCO2, s:  0.00059
smiles: CCC(C)CCCC1=CC2=C(C=C1)OCCO2, s:  0.00058
node ID: 7385, ground truth SMILE: C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3
top 10 test cadidates: 
smiles: CCCCOC(=O)SC1=NN=NN1C2=CC=CC=C2, s:  0.00108
smiles: CC(=O)CCCOC(=O)C1=CN(N=C1C(F)(F)F)C, s:  0.00105
smiles: CCOC(=O)C1=CN=C(N=C1C(F)F)C2=CC=CC=C2, s:  0.00101
smiles: COCCCOC1=C(C=CC(=N1)C(F)(F)F)C(=O)N, s:  0.00097
smiles: CCCOC(=O)C1=C(NC(=O)C(=C1)C(F)(F)F)NC, s:  0.00092
smiles: CCOCCOC1=C(C=CC(=N1)C(F)(F)F)C(=O)N, s:  0.00087
smiles: COCC(C(=O)NN)SC1=NC=NC2=CC=CC=C21, s:  0.00086
smiles: CCCCOC(=O)C1=CC=C(C=C1)NC2=NN=NS2, s:  0.00083
smiles: CCOC(=O)NC1=NN(C(=S)N1C2=CC=CC=C2)C, s:  0.00080
smiles: CCOC(=O)N1C(=S)CN(C(=N1)C2=CC=CC=C2)N, s:  0.00079
node ID: 7393, ground truth SMILE: CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
top 10 test cadidates: 
smiles: CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC, s:  0.27351
smiles: CCCC[C@H](CC)COC(=O)C1=CC=CC=C1C(=O)O, s:  0.15383
smiles: CCCC[C@@H](CC)COC(=O)C1=CC=CC=C1C(=O)O, s:  0.15383
smiles: CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)O, s:  0.15383
smiles: CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCC, s:  0.03563
smiles: CCCCOC(=O)C1=CC=CC=C1C(=O)OCC(C)C, s:  0.03192
smiles: CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)O, s:  0.02564
smiles: CCC(CC)CCCOC(=O)C1=CC=CC=C1C(=O)O, s:  0.01885
smiles: CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCC, s:  0.01557
smiles: CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OC, s:  0.01069
node ID: 7432, ground truth SMILE: C1CC2CN=C(NC2C1)NS(=O)(=O)C3=CC=CC=C3
top 10 test cadidates: 
smiles: C1C[C@@H]2CN=C(N[C@H]2C1)NS(=O)(=O)C3=CC=CC=C3, s:  0.19996
smiles: C1CC2CN=C(NC2C1)NS(=O)(=O)C3=CC=CC=C3, s:  0.19996
smiles: C1C[C@H]2CN=C(N[C@@H]2C1)NS(=O)(=O)C3=CC=CC=C3, s:  0.19996
smiles: C1C[C@H]2CN=C(N[C@H]2C1)NS(=O)(=O)C3=CC=CC=C3, s:  0.19996
smiles: C1C[C@@H]2CN=C(N[C@@H]2C1)NS(=O)(=O)C3=CC=CC=C3, s:  0.19996
smiles: C1C[C@@H]2CNC(=N[C@H]2C1)NS(=O)(=O)C3=CC=CC=C3, s:  0.00002
smiles: C1C[C@H]2CNC(=N[C@@H]2C1)NS(=O)(=O)C3=CC=CC=C3, s:  0.00002
smiles: C1C[C@H]2CNC(=N[C@H]2C1)NS(=O)(=O)C3=CC=CC=C3, s:  0.00002
smiles: C1C[C@@H]2CNC(=N[C@@H]2C1)NS(=O)(=O)C3=CC=CC=C3, s:  0.00002
smiles: C1CC(C1)N(CCN)C2=NS(=O)(=O)C3=CC=CC=C32, s:  0.00000
node ID: 7559, ground truth SMILE: CCCCCCCCC=CCCCCCCCC(=O)N
top 10 test cadidates: 
smiles: CCCCCC=CCCCCCCCCCCC(=O)N, s:  0.05482
smiles: CCCCC/C=C\CCCCCCCCCCC(=O)N, s:  0.05482
smiles: CCCCC/C=C/CCCCCCCCCCC(=O)N, s:  0.05482
smiles: CCCCCC/C=C/CCCCCCCCCC(=O)N, s:  0.05304
smiles: CCCCCC/C=C\CCCCCCCCCC(=O)N, s:  0.05304
smiles: CCCCCCC=CCCCCCCCCCC(=O)N, s:  0.05304
