node ID: 832, ground truth SMILE: CC(C(=O)O)O
top 20 test cadidates: 
smiles: C[C@H](C(=O)O)O, s:  0.33333
smiles: CC(C(=O)O)O, s:  0.33333
smiles: C[C@@H](C(=O)O)O, s:  0.33333
smiles: [H+].CC(C(=O)[O-])O, s:  0.00000
smiles: CC(=O)C(O)O, s:  0.00000
smiles: COCC(=O)O, s:  0.00000
smiles: C[C@H](O)OC=O, s:  0.00000
smiles: C[C@@H](O)OC=O, s:  0.00000
smiles: CC(O)OC=O, s:  0.00000
smiles: C(CO)C(=O)O, s:  0.00000
smiles: CC(C=O)OO, s:  0.00000
smiles: COC(=O)OC, s:  0.00000
smiles: COC(C=O)O, s:  0.00000
smiles: C=C(C(O)O)O, s:  0.00000
smiles: CCOC(=O)O, s:  0.00000
smiles: COC=C(O)O, s:  0.00000
smiles: CC(=O)OOC, s:  0.00000
smiles: C(C(=O)CO)O, s:  0.00000
smiles: CC(=O)OCO, s:  0.00000
smiles: C(C=O)C(O)O, s:  0.00000
node ID: 3525, ground truth SMILE: CCCCCCC(C(=O)O)O
top 20 test cadidates: 
smiles: CCCCCCC(C(=O)O)O, s:  0.30812
smiles: CCCCCC[C@@H](C(=O)O)O, s:  0.30812
smiles: CCCCCC[C@H](C(=O)O)O, s:  0.30812
smiles: CC(C)CCC[C@H](C(=O)O)O, s:  0.00744
smiles: CC(C)CCC[C@@H](C(=O)O)O, s:  0.00744
smiles: CC(C)CCCC(C(=O)O)O, s:  0.00744
smiles: CCCC[C@@H]([C@@H](C)O)C(=O)O, s:  0.00242
smiles: CCCC[C@@H]([C@H](C)O)C(=O)O, s:  0.00242
smiles: CCCCC(C(C)C(=O)O)O, s:  0.00242
smiles: CCCC[C@@H]([C@@H](C)C(=O)O)O, s:  0.00242
smiles: CCCC[C@@H]([C@H](C)C(=O)O)O, s:  0.00242
smiles: CCCC[C@H]([C@@H](C)C(=O)O)O, s:  0.00242
smiles: CCCC[C@H]([C@H](C)C(=O)O)O, s:  0.00242
smiles: CCCCC(C(C)O)C(=O)O, s:  0.00242
smiles: CCCC[C@@H](C)[C@H](C(=O)O)O, s:  0.00241
smiles: CCCC[C@H](C)[C@@H](C(=O)O)O, s:  0.00241
