node ID: 2079_hp, ground truth SMILE: COC(=O)CC1=CNC2=CC=CC=C21
top 20 test cadidates: 
smiles: C1=CC=C2C(=C1)C(=CN2)CCC(=O)O, s:  0.00029
smiles: C1=CC=C2C(=C1)C(=CN2)CC(=O)CO, s:  0.00029
smiles: COC(=O)CC1=CNC2=CC=CC=C21, s:  0.00028
smiles: CC1=CC2=C(C=C1)NC=C2CC(=O)O, s:  0.00026
smiles: CC1=CC2=C(C=C1)C(=CN2)CC(=O)O, s:  0.00026
smiles: CC1=C2C(=CC=C1)C(=CN2)CC(=O)O, s:  0.00025
smiles: CC1=C2C(=CC=C1)NC=C2CC(=O)O, s:  0.00025
smiles: CC(=O)OCC1=CNC2=CC=CC=C21, s:  0.00024
smiles: CC1=CNC2=CC=CC(=C12)CC(=O)O, s:  0.00023
smiles: C1=CC=C2C(=C1)C(=CN2)CC(C=O)O, s:  0.00023
smiles: C1=CC=C2C(=C1)C(=CN2)CCOC=O, s:  0.00022
smiles: CC1=C(C2=CC=CC=C2N1)CC(=O)O, s:  0.00021
smiles: CC1=C(NC2=CC=CC=C12)CC(=O)O, s:  0.00021
smiles: C1=CC=C2C(=C1)C(=O)C(=CN2)CCO, s:  0.00021
smiles: C1=CC(=C2C=CNC2=C1)CCC(=O)O, s:  0.00021
smiles: CC1=CNC2=C1C=C(C=C2)CC(=O)O, s:  0.00021
smiles: CC1=CC2=C(C=CC=C2N1)CC(=O)O, s:  0.00021
smiles: C[C@@H](C1=CNC2=CC=CC=C21)C(=O)O, s:  0.00020
smiles: CN1C=C(C2=CC=CC=C21)CC(=O)O, s:  0.00020
smiles: C1=CC=C2C(=C1)C(=CN2)C(=O)CCO, s:  0.00020
node ID: 2078_hp, ground truth SMILE: COC(=O)CC1=CNC2=CC=CC=C21
top 20 test cadidates: 
smiles: C1=CC=C2C(=C1)C(=CN2)CCC(=O)O, s:  0.00028
smiles: C1=CC=C2C(=C1)C(=CN2)CC(=O)CO, s:  0.00028
smiles: COC(=O)CC1=CNC2=CC=CC=C21, s:  0.00026
smiles: CC1=CC2=C(C=C1)NC=C2CC(=O)O, s:  0.00025
smiles: CC1=CC2=C(C=C1)C(=CN2)CC(=O)O, s:  0.00025
smiles: CC1=C2C(=CC=C1)NC=C2CC(=O)O, s:  0.00023
smiles: CC1=C2C(=CC=C1)C(=CN2)CC(=O)O, s:  0.00023
smiles: CC(=O)OCC1=CNC2=CC=CC=C21, s:  0.00023
smiles: CC1=CNC2=CC=CC(=C12)CC(=O)O, s:  0.00022
smiles: C1=CC=C2C(=C1)C(=CN2)CC(C=O)O, s:  0.00022
smiles: C1=CC=C2C(=C1)C(=O)C(=CN2)CCO, s:  0.00021
smiles: C1=CC=C2C(=C1)C(=CN2)CCOC=O, s:  0.00020
smiles: CC1=C(NC2=CC=CC=C12)CC(=O)O, s:  0.00020
smiles: CC1=C(C2=CC=CC=C2N1)CC(=O)O, s:  0.00020
smiles: C1=CC(=C2C=CNC2=C1)CCC(=O)O, s:  0.00020
smiles: C1=CC=C2C(=C1)C(=CN2)C(=O)CCO, s:  0.00020
smiles: C[C@@H](C1=CNC2=CC=CC=C21)C(=O)O, s:  0.00020
smiles: CC1=CC2=C(C=CC=C2N1)CC(=O)O, s:  0.00020
smiles: CC1=CNC2=C1C=C(C=C2)CC(=O)O, s:  0.00020
smiles: CC(=O)CC1=CNC2=C1C=CC=C2O, s:  0.00019
node ID: 4371_cj, ground truth SMILE: CCCCOP(=O)(O)OCCCC
top 20 test cadidates: 
smiles: CCCCCCOP(=O)(O)OCC, s:  0.00404
smiles: CCCC(C)COP(=O)(O)OCC, s:  0.00374
smiles: CCOP(=O)(O)OC(C)CC(C)C, s:  0.00367
smiles: CCCCOP(=O)(O)OCCCC, s:  0.00353
smiles: CCCCCCCCOP(=O)(O)O, s:  0.00346
smiles: CCC(CC)(CC)COP(=O)(O)O, s:  0.00346
smiles: CCCCC(C)OP(=O)(O)OCC, s:  0.00334
smiles: CCCC(C)C(C)COP(=O)(O)O, s:  0.00331
smiles: CCC(C)C(C)CCOP(=O)(O)O, s:  0.00329
smiles: CCCC(CC)CCOP(=O)(O)O, s:  0.00328
smiles: CCCCC(CC)COP(=O)(O)O, s:  0.00328
smiles: CCC(C)(C)CCCOP(=O)(O)O, s:  0.00327
smiles: CCC(CC)CCCOP(=O)(O)O, s:  0.00327
smiles: CCC(C)C(C)(CC)OP(=O)(O)O, s:  0.00326
smiles: CC(C)C(COP(=O)(O)O)C(C)C, s:  0.00324
smiles: CCCCCC(C)(C)OP(=O)(O)O, s:  0.00323
smiles: CCC(C)(CC(C)C)OP(=O)(O)O, s:  0.00323
smiles: CCCCC(CCC)OP(=O)(O)O, s:  0.00323
smiles: CCCCC(C)C(C)OP(=O)(O)O, s:  0.00323
smiles: CCCC(C(C)CC)OP(=O)(O)O, s:  0.00323
node ID: 7560_sedi, ground truth SMILE: CCCCCCCCC=CCCCCCCCC(=O)N
top 20 test cadidates: 
smiles: CCCCCC=CCCCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCC/C=C\CCCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCC/C=C/CCCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCC/C=C/CCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCC/C=C\CCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCC=CCCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCC=CCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCC/C=C/CCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCCC=CCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCC/C=C/CCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCC/C=C\CCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCCC/C=C/CCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCCCC=CCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCCC/C=C\CCCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCCCC/C=C\CCCCCC(=O)N, s:  0.00055
smiles: CCCCCCCCCCC/C=C\CCCCC(=O)N, s:  0.00055
smiles: CCCCCCCCCCC/C=C/CCCCC(=O)N, s:  0.00055
smiles: CCCCCCCCCCCC=CCCCCC(=O)N, s:  0.00055
smiles: CCCCCCC=CCCCCCCCC(=O)N(C)C, s:  0.00053
smiles: CCCCCC/C=C/CCCCCCCC(=O)N(C)C, s:  0.00053
node ID: 1088_hp, ground truth SMILE: CC(=O)NC1=CC=C(C=C1)O
top 20 test cadidates: 
smiles: CC(=O)NC1=CC=C(C=C1)O, s:  0.00059
smiles: CC(=O)NC1=CC(=CC=C1)O, s:  0.00056
smiles: COC(=O)NC1=CC=CC=C1, s:  0.00056
smiles: CC(=O)ONC1=CC=CC=C1, s:  0.00055
smiles: C1=CC=C(C=C1)NC(=O)CO, s:  0.00051
smiles: CC(=O)NC1=CC=CC=C1O, s:  0.00051
