node ID: 734, ground truth SMILE: CC1=CC2=NNN=C2C=C1
top 10 test cadidates: 
smiles: C1C2=CC=CC=C2NN=N1, s:  0.00145
smiles: C1=CC=C(C=C1)C=NN=N, s:  0.00133
smiles: C=NC1=CC=CC=C1N=N, s:  0.00132
smiles: C1=CC=C(C=C1)C2NN=N2, s:  0.00131
smiles: C1=CC=C(C=C1)CN2N=N2, s:  0.00130
smiles: C1=CC=C(C=C1)N=CN=N, s:  0.00129
smiles: C1=CC=C(C=C1)C(=N)N=N, s:  0.00129
smiles: C1=CC=C(C=C1)C2=NNN2, s:  0.00128
smiles: C1=CC=C(C=C1)CN=[N+]=[N-], s:  0.00127
smiles: C1=CC=C2C(=C1)C=NNN2, s:  0.00126
node ID: 1088, ground truth SMILE: CC(=O)NC1=CC=C(C=C1)O
top 10 test cadidates: 
smiles: CC(=O)ONC1=CC=CC=C1, s:  0.00053
smiles: CC(=O)NC1=CC=C(C=C1)O, s:  0.00051
smiles: CC(=O)N(C1=CC=CC=C1)O, s:  0.00051
smiles: CC(=O)NC1=CC(=CC=C1)O, s:  0.00051
smiles: CC(=O)[NH+](C1=CC=CC=C1)[O-], s:  0.00050
smiles: CC(=O)C1=CC(=CC=C1)NO, s:  0.00050
smiles: COC(=O)NC1=CC=CC=C1, s:  0.00050
smiles: CC(=O)C1=CC=CC=C1NO, s:  0.00049
smiles: CC(=O)C1=CC=C(C=C1)NO, s:  0.00049
smiles: CC(=O)NC1=CC=CC=C1O, s:  0.00049
node ID: 1364, ground truth SMILE: CN1CCCC1C2=CN=CC=C2
top 10 test cadidates: 
smiles: CN1CCCC1C2=CN=CC=C2, s:  0.00031
smiles: CN1CCCC1C2=CC=NC=C2, s:  0.00026
smiles: CC1CC(N1C)C2=CN=CC=C2, s:  0.00025
smiles: C1CC(C1CN)C2=CN=CC=C2, s:  0.00025
smiles: C[C@H]([C@@H]1C[C@@H]1C2=CN=CC=C2)N, s:  0.00025
smiles: C1CC(C(C1)N)C2=CN=CC=C2, s:  0.00025
smiles: C[C@H]1CN([C@@H]1C2=CN=CC=C2)C, s:  0.00025
smiles: CN1CCC(C1)C2=CN=CC=C2, s:  0.00025
smiles: C1C(CC1C2=CN=CC=C2)CN, s:  0.00025
smiles: CC1C(CC1N)C2=CN=CC=C2, s:  0.00025
node ID: 2235, ground truth SMILE: CN1C=NC2=C1C(=O)N(C(=O)N2C)C
top 10 test cadidates: 
smiles: CCN1C=NC2=C1C(=O)N(C(=O)N2)C, s:  0.00095
smiles: CCN1C(=O)C2=C(NC1=O)N=CN2C, s:  0.00085
smiles: CC1=NC2=C(N1C)C(=O)N(C(=O)N2)C, s:  0.00083
smiles: CN1C=NC2=C1C(=O)N(C(=O)N2C)C, s:  0.00079
smiles: CCN1C=NC2=C(C1=O)N(C(=O)N2)C, s:  0.00077
smiles: CC1=NN(C2=C1NC(=O)N(C2=O)C)C, s:  0.00075
smiles: CCC1=NC2=C(N1)C(=O)N(C(=O)N2)C, s:  0.00074
smiles: CCN1C=NC2=C1C(=O)NC(=O)N2C, s:  0.00073
smiles: CN1C=NC2=C(C1=O)N(C(=O)N2C)C, s:  0.00073
smiles: CCN1C2=C(C(=O)NC1=O)N(C=N2)C, s:  0.00072
node ID: 5752, ground truth SMILE: CCCCOP(=O)(OCCCC)OCCCC
top 10 test cadidates: 
smiles: CCOP(=O)(OCC(C)(C)C)OCC(C)(C)C, s:  0.00007
smiles: CCCCCCCCOP(=O)(OCC)OCC, s:  0.00007
smiles: CCCCCOP(=O)(OCC)OCCCCC, s:  0.00007
smiles: CCCCCCCCCCCCOP(=O)(O)O, s:  0.00007
smiles: CCOP(=O)(OCCC(C)C)OCCC(C)C, s:  0.00007
smiles: CCCCCCCCCCCCP(=O)(O)OO, s:  0.00007
smiles: CCCCCCOP(=O)(OCC)OCCCC, s:  0.00007
smiles: CCCCCCCOP(=O)(OCC)OCCC, s:  0.00006
smiles: CCC(C)CCCCCCCCOP(=O)(O)O, s:  0.00006
smiles: CCCCCC(CC)CCCCOP(=O)(O)O, s:  0.00006
node ID: 2159, ground truth SMILE: COC1=C(C=C2C(=C1)C=CC(=O)O2)O
top 10 test cadidates: 
smiles: COC(=O)C1C2=CC=CC=C2C(=O)O1, s:  0.00108
smiles: COC(=O)C1=COC2=C1C=CC=C2O, s:  0.00107
smiles: COC(=O)C1=C2C=CC=C(C2=CO1)O, s:  0.00107
smiles: CO/C(=C/C(=O)[O-])/C1=CC=CC=C1[O-], s:  0.00107
smiles: COC(=O)C1C2=CC=CC=C2OC1=O, s:  0.00107
smiles: COC(=O)C1=CC=C(C=C1)C(=O)C=O, s:  0.00106
smiles: COC(=O)C1=C(C=CC=C1C=O)C=O, s:  0.00106
smiles: COC(=O)C(=O)C1=CC=CC=CC1=O, s:  0.00106
smiles: COC(=O)CC#CC1=CC=C(O1)C=O, s:  0.00106
smiles: COC(=O)CC#CC1=C(OC=C1)C=O, s:  0.00105
node ID: 6383, ground truth SMILE: CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
top 10 test cadidates: 
