node ID: 832, ground truth SMILE: CC(C(=O)O)O
top 10 test cadidates: 
smiles: CC(C(=O)O)O, s:  0.24845
smiles: C[C@@H](C(=O)O)O, s:  0.24845
smiles: C[C@H](C(=O)O)O, s:  0.24845
smiles: [H+].CC(C(=O)[O-])O, s:  0.03447
smiles: CC(=O)C(O)O, s:  0.01331
smiles: COC(=O)OC, s:  0.00652
smiles: C[C@@H](O)OC=O, s:  0.00474
smiles: C[C@H](O)OC=O, s:  0.00474
smiles: CC(O)OC=O, s:  0.00474
smiles: CCOC(=O)O, s:  0.00427
node ID: 3525, ground truth SMILE: CCCCCCC(C(=O)O)O
top 10 test cadidates: 
smiles: CCCCCC[C@@H](C(=O)O)O, s:  0.00393
smiles: CCCCCC[C@H](C(=O)O)O, s:  0.00393
smiles: CCCCCCC(C(=O)O)O, s:  0.00393
smiles: CC(C)CCC[C@H](C(=O)O)O, s:  0.00372
smiles: CC(C)CCCC(C(=O)O)O, s:  0.00372
smiles: CC(C)CCC[C@@H](C(=O)O)O, s:  0.00372
smiles: CCCCC(C)C(C(=O)O)O, s:  0.00280
smiles: CCCC[C@H](C)[C@H](C(=O)O)O, s:  0.00280
smiles: CCCC[C@@H](C)[C@@H](C(=O)O)O, s:  0.00280
smiles: CCCCC(C)[C@@H](C(=O)O)O, s:  0.00280
node ID: 1431, ground truth SMILE: CC(CC(=O)O)O
top 10 test cadidates: 
smiles: C(CC(=O)O)CO, s:  0.00626
smiles: COCCC(=O)O, s:  0.00446
smiles: CCCOC(=O)O, s:  0.00425
smiles: CCCC(=O)OO, s:  0.00408
smiles: CCOCC(=O)O, s:  0.00398
smiles: CC(C)(C(=O)O)O, s:  0.00389
smiles: CCC(C(=O)O)O, s:  0.00382
smiles: CC[C@H](C(=O)O)O, s:  0.00382
smiles: CC[C@@H](C(=O)O)O, s:  0.00382
smiles: CC(C)OC(=O)O, s:  0.00372
node ID: 1436, ground truth SMILE: CC(CC(=O)O)O
top 10 test cadidates: 
smiles: C(CC(=O)O)CO, s:  0.00420
smiles: C[C@@H](CC(=O)O)O, s:  0.00402
smiles: CC(CC(=O)O)O, s:  0.00402
smiles: C[C@H](CC(=O)O)O, s:  0.00402
smiles: CCOCC(=O)O, s:  0.00388
smiles: CCC(C(=O)O)O, s:  0.00388
smiles: CC[C@@H](C(=O)O)O, s:  0.00388
smiles: CC[C@H](C(=O)O)O, s:  0.00388
smiles: CC(CO)C(=O)O, s:  0.00387
smiles: C[C@@H](CO)C(=O)O, s:  0.00387
node ID: 1897, ground truth SMILE: CCCCCC(=O)O
top 10 test cadidates: 
smiles: CC(C)CCC(=O)O, s:  0.00198
smiles: CC(=O)CCCCO, s:  0.00180
smiles: CCCCCC(=O)O, s:  0.00169
smiles: C[C@H](CCC(=O)C)O, s:  0.00163
smiles: C[C@@H](CCC(=O)C)O, s:  0.00163
smiles: CC(CCC(=O)C)O, s:  0.00163
smiles: CCOCCC(=O)C, s:  0.00147
smiles: CC(=O)CCCOC, s:  0.00144
smiles: CC(C)(C)CC(=O)O, s:  0.00116
smiles: CC(=O)CC(C)(C)O, s:  0.00101
node ID: 3695, ground truth SMILE: C1=CC=C(C(=C1)C=CC(=O)O)O
top 10 test cadidates: 
smiles: C=C(C1=CC=C(C=C1)C(=O)O)O, s:  0.00205
smiles: CC(=O)C1=CC=C(C=C1)C(=O)O, s:  0.00204
smiles: C=C(C1=CC(=CC=C1)C(=O)O)O, s:  0.00192
smiles: CC(=O)C1=CC(=CC=C1)C(=O)O, s:  0.00191
smiles: C1=CC=C(C=C1)C(=O)CC(=O)O, s:  0.00190
smiles: C1=CC=C(C=C1)/C(=C/C(=O)O)/O, s:  0.00187
smiles: C1=CC=C(C=C1)C(=CC(=O)O)O, s:  0.00187
smiles: C1=CC=C(C=C1)/C(=C\C(=O)O)/O, s:  0.00187
smiles: C1=CC=C(C=C1)C(=O)C(=O)CO, s:  0.00168
smiles: C1=CC=C(C=C1)C(=O)C(=CO)O, s:  0.00166
node ID: 2646, ground truth SMILE: C1=CC(=CC=C1CCO)O
top 10 test cadidates: 
smiles: C1=CC(=CC(=C1)O)CCO, s:  0.00198
smiles: C1=CC(=CC(=C1)CO)CO, s:  0.00175
smiles: COCC1=CC(=CC=C1)O, s:  0.00161
smiles: COC1=CC=CC(=C1)CO, s:  0.00099
smiles: C[C@@H](C1=CC(=CC=C1)O)O, s:  0.00097
smiles: C[C@H](C1=CC(=CC=C1)O)O, s:  0.00097
smiles: CC(C1=CC(=CC=C1)O)O, s:  0.00097
smiles: CCOC1=CC=CC(=C1)O, s:  0.00094
smiles: C1=CC=C(C=C1)COCO, s:  0.00087
smiles: C1=CC(=CC=C1CO)CO, s:  0.00083
node ID: 2097, ground truth SMILE: C1=CC(=CC=C1C=O)O
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)C(=O)O, s:  0.00900
smiles: [H+].C1=CC=C(C=C1)C(=O)[O-], s:  0.00617
smiles: C1=CC=C(C=C1)C(=[O+])O, s:  0.00481
smiles: C1=CC=C(C(=O)C=C1)O, s:  0.00342
