node ID: 2740, ground truth SMILE: CC=CC=CC(=O)O
top 10 test cadidates: 
smiles: C1CCOC(=C=O)C1, s:  0.00099
smiles: C1=C(NC=N1)CO[NH-], s:  0.00092
smiles: C=CCOOCC#C, s:  0.00091
smiles: COC=C=C=COC, s:  0.00091
smiles: CO[N+]1=CN=CN=C1, s:  0.00091
smiles: [CH]=CC1=[O+]CCCO1, s:  0.00091
smiles: CC1=NOC(=N1)C[NH], s:  0.00090
smiles: COCN1C=[C+]N=N1, s:  0.00090
smiles: C=C1CCOC(=O)C1, s:  0.00089
smiles: COC(=CC#C)OC, s:  0.00089
node ID: 2634, ground truth SMILE: CCC=CC=CC=O
top 10 test cadidates: 
smiles: C1=CN(N=C1)CC[NH], s:  0.00076
smiles: [2H][C@@](C(=O)O)(C([2H])([2H])O)N([2H])[2H], s:  0.00076
smiles: [H+].C1=C(NC=N1)CC=N, s:  0.00075
smiles: C1=C(NC=N1)CC=[NH2+], s:  0.00075
smiles: C1=C(C=NC=N1)C[NH3+], s:  0.00075
smiles: C1=C(NC=N1)CC[NH-], s:  0.00075
smiles: C=C(N)N=C[CH+]C=N, s:  0.00074
smiles: CC(=[NH2+])C(=N)CC#N, s:  0.00074
smiles: C#CCC1(N=N1)C[NH3+], s:  0.00074
smiles: C1=CN=C(N=C1)C[NH3+], s:  0.00073
node ID: 3548, ground truth SMILE: CC1(CC(=O)OC1=C)C
top 10 test cadidates: 
smiles: C=C1CCCCOC1=O, s:  0.00048
smiles: C=C1CCCOC(=O)C1, s:  0.00047
smiles: [3H]C1=C2C(=NC(=N1)[3H])NC(=N2)[3H], s:  0.00044
smiles: [3H]C1=C2C(=NC(=N2)[3H])NC(=N1)[3H], s:  0.00044
smiles: C/1CC(=O)OCC/C=C1, s:  0.00043
smiles: C\1CC(=O)OCC/C=C1, s:  0.00043
smiles: C=CCOCOCC#C, s:  0.00043
smiles: CCOC(=[O+]CC)C#[C-], s:  0.00042
smiles: C=C1CCCC(=O)OC1, s:  0.00042
smiles: C1CC2=C(C1)OCCO2, s:  0.00041
node ID: 5674, ground truth SMILE: C1=CC=C(C=C1)CC(C(=O)O)N
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)C[C@H](C(=O)O)N, s:  0.00091
smiles: C1=CC=C(C=C1)C[C@@H](C(=O)O)N, s:  0.00091
smiles: C1=CC=C(C=C1)CC(C(=O)O)N, s:  0.00091
smiles: C1=CC=C(C=C1)C[C@@H](C(=[O+])O)N, s:  0.00043
smiles: C1=CC=C(C=C1)C[C@@H](C(=O)N)O, s:  0.00042
smiles: C1=CC=C(C=C1)C[C@H](C(=O)N)O, s:  0.00042
smiles: C1=CC=C(C=C1)CC(C(=O)N)O, s:  0.00042
smiles: CC(=O)NOCC1=CC=CC=C1, s:  0.00029
smiles: CC(=O)N(CC1=CC=CC=C1)O, s:  0.00028
smiles: CC(=O)ONCC1=CC=CC=C1, s:  0.00027
node ID: 3227, ground truth SMILE: CC(=O)C1=CC=CC=C1
top 10 test cadidates: 
smiles: CC(=O)C1=CC=CC=C1, s:  0.00608
smiles: C[C](C1=CC=CC=C1)[O-], s:  0.00264
smiles: C[C-]=[O+]C1=CC=CC=C1, s:  0.00212
smiles: C[O+]=[C-]C1=CC=CC=C1, s:  0.00205
smiles: C=C(C1=CC=CC=C1)O, s:  0.00205
smiles: [13CH2]([13C](=O)O)[15N]=C(N)N, s:  0.00204
smiles: C=COC1=CC=CC=C1, s:  0.00202
smiles: [CH]COC1=CC=CC=C1, s:  0.00202
smiles: [2H]CC([2H])C(C(=O)C)S, s:  0.00202
smiles: [CH2]C=[O+]C1=CC=CC=C1, s:  0.00201
node ID: 3232, ground truth SMILE: CC(=O)C1=CC=CC=C1
top 10 test cadidates: 
smiles: CC(=O)C1=CC=CC=C1, s:  0.01691
smiles: C[C](C1=CC=CC=C1)[O-], s:  0.00393
smiles: C=C(C1=CC=CC=C1)O, s:  0.00274
smiles: C[O+]=[C-]C1=CC=CC=C1, s:  0.00246
smiles: C1=CC=C(C=C1)N=[N+]=N, s:  0.00238
smiles: C1=CC=C(C=C1)NN=[N-], s:  0.00237
smiles: C1=CC=C(C=C1)N[N+]#N, s:  0.00237
smiles: C1=CC=C(C(=C1)[NH-])N=N, s:  0.00227
smiles: C1=CC=C(C(=C1)N)[N+]#N, s:  0.00227
smiles: C1=CC=C2C(=C1)[NH2+]N=N2, s:  0.00226
node ID: 3243, ground truth SMILE: CC(=O)C1=CC=CC=C1
top 10 test cadidates: 
smiles: CC(=O)C1=CC=CC=C1, s:  0.10252
smiles: C[C](C1=CC=CC=C1)[O-], s:  0.00718
smiles: C=C(C1=CC=CC=C1)O, s:  0.00338
smiles: C[C-]=[O+]C1=CC=CC=C1, s:  0.00207
smiles: C[O+]=[C-]C1=CC=CC=C1, s:  0.00201
smiles: CC1=CC=CC=CC1=O, s:  0.00194
smiles: C1=CC=C(C=C1)/C=C\O, s:  0.00190
smiles: C1=CC=C(C=C1)/C=C/O, s:  0.00190
smiles: C1=CC=C(C=C1)C=CO, s:  0.00190
smiles: CC(=O)C1=CC=CC1=C, s:  0.00190
node ID: 3352, ground truth SMILE: CC1=C(C(=C(C1)C)C)C
top 10 test cadidates: 
smiles: CC1=C(C(=C(C1)C)C)C, s:  0.00420
smiles: [2H]C([2H])([2H])C([2H])([2H])[C@@H](C(=O)OC)N, s:  0.00055
smiles: [2H]C([2H])C([2H])([2H])C([2H])(C(=O)OC)N, s:  0.00055
smiles: [2H]C([2H])([2H])C([2H])([2H])C[C@@H](C(=O)O)N, s:  0.00054
smiles: [2H]C([2H])([2H])C([2H])([2H])CC(C(=O)O)N, s:  0.00054
smiles: [2H][C@@](C(=O)O)(C([2H])([2H])CC)N([2H])[2H], s:  0.00054
smiles: CCC1=CCC(=C1C)C, s:  0.00053
smiles: [2H][C@@](C(=O)O)(C([2H])(C)C([2H])([2H])[2H])N, s:  0.00053
smiles: [2H]CC([2H])(C)[C@@]([2H])(C(=O)O)N([2H])[2H], s:  0.00053
smiles: CCC1=C(CC(=C1)C)C, s:  0.00053
node ID: 4064, ground truth SMILE: C[C@@H](CCC=C(C)C)CC=O
top 10 test cadidates: 
smiles: CCCC1=[NH+]C(=[NH+]C(=[NH+]1)C)C, s:  0.00019
smiles: CC1=CC=[N+](N1C)CCCN, s:  0.00018
smiles: CC1=C(N=CN1)C[N+](C)(C)C, s:  0.00018
smiles: C/C=C/C[N+]1(CCC(=N1)N)C, s:  0.00018
smiles: CC1=[N+](C=CN1)CCN(C)C, s:  0.00018
smiles: CC[N+]1(C(=CN=N1)C)C(C)C, s:  0.00018
smiles: CCN1C=C(C=[N+](N1)CC)C, s:  0.00018
smiles: CCC[N+]1(C=C(N=C1C)C)N, s:  0.00018
smiles: CC1=[N+](C=CN1CCCN)C, s:  0.00018
smiles: CN1CCNCC1=C[N+](=C)C, s:  0.00018
node ID: 4262, ground truth SMILE: CCC1CC(=O)CC(=O)C1
top 10 test cadidates: 
smiles: CCCC1=CC=C(O1)CO, s:  0.00028
smiles: CC(C)C1=CC=C(O1)CO, s:  0.00025
smiles: [2H]/C(=C(/[2H])\C([2H])([2H])O[N+](=O)O)/C([2H])([2H])O, s:  0.00023
smiles: C=NOCC[NH+]1C=CN=C1, s:  0.00022
smiles: C=CCOC(=C)OCC=C, s:  0.00022
smiles: CCOC1(CC#C1)OCC, s:  0.00021
smiles: CO/N=C\1/C[N-]CC12CN2, s:  0.00021
smiles: CCOC(=C)C#CCOC, s:  0.00021
smiles: CCO/C=C/C#CCOC, s:  0.00021
smiles: CN1C=[N+](C=C1C=NO)C, s:  0.00021
node ID: 3690, ground truth SMILE: C1=CC=C2C=NC=CC2=C1
top 10 test cadidates: 
smiles: C1=CC=C2C=NC=CC2=C1, s:  0.18278
smiles: C1=CC=C2C(=C1)C=CC=N2, s:  0.00419
smiles: C1=CC2=CC=CN=CC2=C1, s:  0.00419
smiles: C1=CC2=CC=NC=CC2=C1, s:  0.00393
smiles: C1=CC=C2C=NC=C2C=C1, s:  0.00393
smiles: C=CC1=C(C=NC=C1)C#C, s:  0.00297
smiles: C#C/C=C/C1=CN=CC=C1, s:  0.00288
smiles: C#C/C=C\C1=CN=CC=C1, s:  0.00288
smiles: CC1=C=CC2=C1C=CN=C2, s:  0.00288
smiles: C1=CC=NC2=CC=CC2=C1, s:  0.00270
node ID: 3692, ground truth SMILE: C1=CC=C2C=NC=CC2=C1
top 10 test cadidates: 
smiles: C1=CC=C2C=NC=CC2=C1, s:  0.02396
smiles: C1=CC=C2C(=C1)C=CC=N2, s:  0.00358
smiles: C1=CC2=CC=CN=CC2=C1, s:  0.00358
smiles: C1=CC2=CC=NC=CC2=C1, s:  0.00347
smiles: C1=CC=C2C=NC=C2C=C1, s:  0.00347
smiles: CC1=C=CC2=C1C=CN=C2, s:  0.00302
smiles: C=CC1=C(C=NC=C1)C#C, s:  0.00302
smiles: C#C/C=C\C1=CN=CC=C1, s:  0.00298
smiles: C#C/C=C/C1=CN=CC=C1, s:  0.00298
smiles: C1=CC=NC2=CC=CC2=C1, s:  0.00288
node ID: 4259, ground truth SMILE: CCC1CC(=O)CC(=O)C1
top 10 test cadidates: 
smiles: COC1=CC(=[N+](C=C1)N)N, s:  0.00024
smiles: C=CCOC(=C)OCC=C, s:  0.00022
smiles: C=NOCC[NH+]1C=CN=C1, s:  0.00022
smiles: [2H]/C(=C(/[2H])\C([2H])([2H])O[N+](=O)O)/C([2H])([2H])O, s:  0.00022
smiles: CC([CH])COC(=O)C(=C)C, s:  0.00022
smiles: CCOC1(CC#C1)OCC, s:  0.00022
smiles: CCOC=C=C=COCC, s:  0.00022
smiles: COC1=C[NH+]=CC(=C1)NN, s:  0.00022
smiles: CC(C)(C)OC(=O)/C=C/[CH], s:  0.00022
smiles: CN1C=[N+](C=C1C=NO)C, s:  0.00022
node ID: 4055, ground truth SMILE: C[C@@H](CCC=C(C)C)CC=O
top 10 test cadidates: 
smiles: CC(CCC=C(C)C)CC=O, s:  0.00099
smiles: C[C@@H](CCC=C(C)C)CC=O, s:  0.00099
smiles: C[C@H](CCC=C(C)C)CC=O, s:  0.00099
smiles: CC(CCC=O)CC=C(C)C, s:  0.00055
smiles: CC/C=C/CC[C@H](C)CC=O, s:  0.00028
smiles: CCC=CCCC(C)CC=O, s:  0.00028
smiles: CC/C=C/CCC(C)CC=O, s:  0.00028
smiles: CC(CCC=C(C)C)C(=O)C, s:  0.00027
smiles: C[C@H](CCC=C(C)C)C(=O)C, s:  0.00027
smiles: C[C@@H](CCC=C(C)C)C(=O)C, s:  0.00027
node ID: 4180, ground truth SMILE: CC1=CC(=O)CC(C1)(C)C
top 10 test cadidates: 
smiles: CC1=CC(=O)CC(C1)(C)C, s:  0.00833
smiles: CCC1(CC(=CC1=O)C)C, s:  0.00051
smiles: CCC1(CC(=O)C=C1C)C, s:  0.00050
smiles: CC1=CC(=O)CCC1(C)C, s:  0.00045
smiles: CC1(CCC=CC(=O)C1)C, s:  0.00041
smiles: CC1=CC(=O)CCCCC1, s:  0.00039
smiles: C/C/1=C/C(=O)CCCCC1, s:  0.00039
smiles: CC1(CC2(C1)CC(=O)C2)C, s:  0.00035
smiles: CC1=CC(=O)C(CC1)(C)C, s:  0.00035
smiles: CC1=CCC(CC1=O)(C)C, s:  0.00035
node ID: 4781, ground truth SMILE: CC(=O)C1=CC=C(C=C1)OC
top 10 test cadidates: 
smiles: CC1=CC(=C(C=C1)OC=O)C, s:  0.00055
smiles: CNC(C(=C(N)N)N)Cl, s:  0.00052
smiles: CCN(/C(=N\N)/CCl)N, s:  0.00051
smiles: [2H]C([2H])(C([2H])([2H])Cl)N([2H])C([2H])([2H])C([2H])([2H])Cl, s:  0.00051
smiles: C(N)NNC(=S)NNN, s:  0.00051
smiles: [2H]/C(=C(/[2H])\S(=O)(=O)C(C)C)/C, s:  0.00051
smiles: CN=C(CCCl)NNN, s:  0.00051
smiles: [2H][C@@](C(=O)[O-])(C([2H])([2H])C([2H])([2H])C(=O)[O-])N, s:  0.00051
smiles: [2H][C@@](C(=O)[O-])(C([2H])([2H])CC(=O)[O-])N([2H])[2H], s:  0.00051
smiles: CCCO[P+](=N)OCC, s:  0.00050
node ID: 4785, ground truth SMILE: CC(=O)C1=CC=C(C=C1)OC
top 10 test cadidates: 
smiles: CC(=O)C1=CC=C(C=C1)OC, s:  0.00143
smiles: CC(=O)C1=CC(=CC=C1)OC, s:  0.00072
smiles: COC1=CC=C(C=C1)C(=C)O, s:  0.00065
smiles: COC1=CC=C(C=C1)OC=C, s:  0.00054
smiles: CC(=O)C1=CC=C(C=C1)CO, s:  0.00054
smiles: COC1=CC=C(C=C1)/C=C/O, s:  0.00053
smiles: COC1=CC=C(C=C1)C=CO, s:  0.00053
smiles: C[C-]=[O+]C1=CC=C(C=C1)OC, s:  0.00052
smiles: COC1=CC=C(C=C1)N[N+]#N, s:  0.00050
smiles: COC1=CC(=C(C=C1)[CH])OC, s:  0.00049
node ID: 4810, ground truth SMILE: CC1=CCC(CC1=O)C(=C)C
top 10 test cadidates: 
smiles: CC1=CCC(CC1=O)C(=C)C, s:  0.00149
smiles: CC1=CC[C@@H](CC1=O)C(=C)C, s:  0.00149
smiles: CC1=CC[C@H](CC1=O)C(=C)C, s:  0.00149
smiles: CC(=C)[C@H]1CC=C(C1)C(=O)C, s:  0.00058
smiles: CC(=C)[C@@H]1CC=C(C1)C(=O)C, s:  0.00058
smiles: CC(=C)C1CC=C(C1)C(=O)C, s:  0.00058
smiles: CC1=CC(=O)C[C@@H](C1)C(=C)C, s:  0.00047
smiles: CC1=CC(=O)C[C@H](C1)C(=C)C, s:  0.00047
smiles: CC1=CC(=O)CC(C1)C(=C)C, s:  0.00047
smiles: CC1=CCC(CC1=C)C(=O)C, s:  0.00044
node ID: 4812, ground truth SMILE: CC1=CCC(CC1=O)C(=C)C
top 10 test cadidates: 
smiles: CC1=CCC(CC1=O)C(=C)C, s:  0.00205
smiles: CC1=CC[C@@H](CC1=O)C(=C)C, s:  0.00205
smiles: CC1=CC[C@H](CC1=O)C(=C)C, s:  0.00205
smiles: CC(=C)[C@H]1CC=C(C1)C(=O)C, s:  0.00069
smiles: CC(=C)[C@@H]1CC=C(C1)C(=O)C, s:  0.00069
