node ID: 1323, ground truth SMILE: C1=CC(=CC=C1C=O)O
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)C(=O)O, s:  0.00328
smiles: [H+].C1=CC=C(C=C1)C(=O)[O-], s:  0.00313
smiles: [CH]CC(=O)C1=CC=CO1, s:  0.00304
smiles: C1=CC=C(C(=O)C=C1)O, s:  0.00298
smiles: C=CC(=O)C1=CC=CO1, s:  0.00295
smiles: C1=CC=C(C=C1)C(=[O+])O, s:  0.00293
smiles: C#CC#CCCC(=O)O, s:  0.00290
smiles: C1=CC(=CC(=O)C=C1)O, s:  0.00284
smiles: C1=CC=C(C=C1)C([O-])[O-], s:  0.00284
smiles: [2H]C([2H])(CSC)C(=O)O, s:  0.00283
node ID: 2704, ground truth SMILE: CN(C)C(=O)NC1=CC=CC=C1
top 10 test cadidates: 
smiles: CN(C)C(=O)NC1=CC=CC=C1, s:  0.00055
smiles: CC(=O)NC1=CC=C(C=C1)NC, s:  0.00029
smiles: CC(C)C(=O)NC1=CC=NC=C1, s:  0.00028
smiles: C[C@@H](C(=O)NC1=CC=CC=C1)N, s:  0.00028
smiles: C[C@H](C(=O)NC1=CC=CC=C1)N, s:  0.00028
smiles: CC(C(=O)NC1=CC=CC=C1)N, s:  0.00028
smiles: CCC(=O)NC1=CC=C(C=C1)N, s:  0.00028
smiles: CC1=CC=C(C=C1)NC(=O)NC, s:  0.00027
smiles: CC(C1=CC=C(C=C1)N)C(=O)N, s:  0.00027
smiles: C[C@H](C1=CC=C(C=C1)N)C(=O)N, s:  0.00027
node ID: 2673, ground truth SMILE: CC(=NCCC1=CC=NC=C1)N
top 10 test cadidates: 
smiles: CCN(C1=CC=CC=C1)C(=N)N, s:  0.00043
smiles: CN(CC(=N)N)C1=CC=CC=C1, s:  0.00039
smiles: CCC(=N)N(C1=CC=CC=C1)N, s:  0.00039
smiles: CN(CC1=CC=CC=C1)C(=N)N, s:  0.00035
smiles: C/C(=C/N(C1=CC=CC=C1)N)/N, s:  0.00033
smiles: CC1=CC(=CC=C1)N(C)C(=N)N, s:  0.00033
smiles: C/C(=N/N(C)C1=CC=CC=C1)/N, s:  0.00033
smiles: CN=C(N)N(C)C1=CC=CC=C1, s:  0.00032
smiles: C/C(=C/N)/N(C1=CC=CC=C1)N, s:  0.00032
smiles: CC1=CC=CC=C1N(C)C(=N)N, s:  0.00031
node ID: 1766, ground truth SMILE: C1=CC(=CC(=C1)N)C(=O)N
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)N(C=O)N, s:  0.00098
smiles: C1=CC=C(C=C1)NC(=O)N, s:  0.00097
smiles: C1=CC=C(C=C1)C(=O)NN, s:  0.00083
smiles: C1=CC=C(C=C1)N(C=N)O, s:  0.00082
smiles: CN(C1=CC=CC=C1)N=O, s:  0.00082
smiles: C1=CC=C(C(=C1)C(=O)N)N, s:  0.00081
smiles: C1=CC=C(C=C1)C(=NO)N, s:  0.00073
smiles: C1=CC=C(C=C1)/C(=N/O)/N, s:  0.00073
smiles: C1=CC=C(C=C1)/C(=N\O)/N, s:  0.00073
smiles: C1=CC=C(C=C1)OC(=N)N, s:  0.00072
node ID: 5758, ground truth SMILE: CCCCC(CC)CNCC(CC)CCCC
top 10 test cadidates: 
smiles: CCCCC(CC)CNCC(CC)CCCC, s:  0.00178
smiles: CCCC[C@H](CC)CNC[C@@H](CC)CCCC, s:  0.00178
smiles: CCCC[C@@H](CC)CNC[C@H](CC)CCCC, s:  0.00178
smiles: CCCC[C@@H](CC)CNCC(CC)CCCC, s:  0.00178
smiles: CCCC[C@@H](CC)CNC[C@@H](CC)CCCC, s:  0.00178
smiles: CCCCC(CC)CNCC(C(C)C)C(C)C, s:  0.00171
smiles: CCCCCC(C)CNCC(CC)CCCC, s:  0.00169
smiles: CCCCCCCCNCC(CC)CCCC, s:  0.00168
smiles: CCCCC(CC)CCC(CC)CNCCC, s:  0.00168
smiles: CCCCCCCCC(CC)CNCC(C)C, s:  0.00165
node ID: 4532, ground truth SMILE: CCCCCCCCCCCCCCN
top 10 test cadidates: 
smiles: CCCCC(CC)CCCCCCCN, s:  0.00163
smiles: CCCCCCCC(CC)CCCCN, s:  0.00159
smiles: CCCCCCC(CCCC)CCCN, s:  0.00137
smiles: CCCCC(CCC)CCCCCCN, s:  0.00128
smiles: CCCCCC(CCCCC)CCCN, s:  0.00126
smiles: CCCCCCNCC(CC)CCCC, s:  0.00124
smiles: CCCCCCCCCCCCCCN, s:  0.00124
smiles: CCCCCCCCC(CC)CNCC, s:  0.00123
smiles: CCCCC(CC)CNCC(CC)CC, s:  0.00122
smiles: CCCCCCC(CC)CNCC(C)C, s:  0.00121
node ID: 6385, ground truth SMILE: CCCCCCCCCCCCCCCC(=O)N
top 10 test cadidates: 
smiles: CCCCCCCCCCCCCCCC(=O)N, s:  0.00137
smiles: CCCCCCCCC(C)CCCCCC(=O)N, s:  0.00122
smiles: CCCCCCCCCC(C)(C)CCCC(=O)N, s:  0.00112
smiles: CCCCCCC(CCCCCC)CCC(=O)N, s:  0.00111
smiles: CCCCCCC(C)(CCCCC)CCC(=O)N, s:  0.00107
smiles: CCCCCCC(C)(CCCC)CCCC(=O)N, s:  0.00106
smiles: CCCCCCCCCC(CC)CCCC(=O)N, s:  0.00105
