node ID: 832, ground truth SMILE: CC(C(=O)O)O
top 20 test cadidates: 
smiles: C[C@H](C(=O)O)O, s:  0.05589
smiles: CC(C(=O)O)O, s:  0.05589
smiles: C[C@@H](C(=O)O)O, s:  0.05589
smiles: [H+].CC(C(=O)[O-])O, s:  0.01816
smiles: CC(=O)C(O)O, s:  0.01583
smiles: COCC(=O)O, s:  0.01298
smiles: C[C@H](O)OC=O, s:  0.01278
smiles: C[C@@H](O)OC=O, s:  0.01278
smiles: CC(O)OC=O, s:  0.01278
smiles: C(CO)C(=O)O, s:  0.01241
smiles: COC(=O)OC, s:  0.01204
smiles: CC(C=O)OO, s:  0.01191
smiles: CCOC(=O)O, s:  0.01172
smiles: C=C(C(O)O)O, s:  0.01169
smiles: COC(C=O)O, s:  0.01152
smiles: COC=C(O)O, s:  0.01125
smiles: CC(=O)OOC, s:  0.01097
smiles: C(C(=O)CO)O, s:  0.01093
smiles: C(C=O)C(O)O, s:  0.01081
smiles: CC(=O)OCO, s:  0.01076
node ID: 3525, ground truth SMILE: CCCCCCC(C(=O)O)O
top 20 test cadidates: 
smiles: CCCCCC[C@@H](C(=O)O)O, s:  0.00073
smiles: CCCCCC[C@H](C(=O)O)O, s:  0.00073
smiles: CCCCCCC(C(=O)O)O, s:  0.00073
smiles: CC(C)CCC[C@H](C(=O)O)O, s:  0.00058
smiles: CC(C)CCCC(C(=O)O)O, s:  0.00058
smiles: CC(C)CCC[C@@H](C(=O)O)O, s:  0.00058
smiles: CCCC[C@@H](C)[C@H](C(=O)O)O, s:  0.00054
smiles: CCCC[C@H](C)[C@@H](C(=O)O)O, s:  0.00054
smiles: CCCCC(C)[C@@H](C(=O)O)O, s:  0.00054
smiles: CCCC[C@@H](C)[C@@H](C(=O)O)O, s:  0.00054
smiles: CCCCC(C)C(C(=O)O)O, s:  0.00054
smiles: CCCC[C@H](C)[C@H](C(=O)O)O, s:  0.00054
smiles: CCCC[C@@H]([C@@H](C)O)C(=O)O, s:  0.00054
smiles: CCCC[C@@H]([C@H](C)O)C(=O)O, s:  0.00054
smiles: CCCCC(C(C)C(=O)O)O, s:  0.00054
smiles: CCCC[C@@H]([C@@H](C)C(=O)O)O, s:  0.00054
smiles: CCCC[C@H]([C@@H](C)C(=O)O)O, s:  0.00054
smiles: CCCC[C@@H]([C@H](C)C(=O)O)O, s:  0.00054
smiles: CCCC[C@H]([C@H](C)C(=O)O)O, s:  0.00054
smiles: CCCCC(C(C)O)C(=O)O, s:  0.00054
node ID: 1431, ground truth SMILE: CC(CC(=O)O)O
top 20 test cadidates: 
smiles: C(CC(=O)O)CO, s:  0.00382
smiles: COCCC(=O)O, s:  0.00353
smiles: CCOCC(=O)O, s:  0.00334
smiles: CCCC(=O)OO, s:  0.00332
smiles: CCCOC(=O)O, s:  0.00329
smiles: C[C@H](CC(=O)O)O, s:  0.00325
smiles: CC(CC(=O)O)O, s:  0.00325
smiles: C[C@@H](CC(=O)O)O, s:  0.00325
smiles: CCC(C(=O)O)O, s:  0.00320
smiles: CC[C@H](C(=O)O)O, s:  0.00320
smiles: CC[C@@H](C(=O)O)O, s:  0.00320
smiles: CCC(=O)OOC, s:  0.00318
smiles: CCOOC(=O)C, s:  0.00318
smiles: COC(=O)CCO, s:  0.00315
smiles: CCOC(=O)CO, s:  0.00315
smiles: CCOC(=O)OC, s:  0.00315
smiles: C[C@H](CO)C(=O)O, s:  0.00312
smiles: C[C@@H](CO)C(=O)O, s:  0.00312
smiles: CC(CO)C(=O)O, s:  0.00312
smiles: CC(=O)CCOO, s:  0.00311
node ID: 1436, ground truth SMILE: CC(CC(=O)O)O
top 20 test cadidates: 
smiles: C(CC(=O)O)CO, s:  0.00377
smiles: CC(CC(=O)O)O, s:  0.00372
smiles: C[C@H](CC(=O)O)O, s:  0.00372
smiles: C[C@@H](CC(=O)O)O, s:  0.00372
smiles: COCCC(=O)O, s:  0.00368
smiles: CCOCC(=O)O, s:  0.00367
smiles: COCC(=O)OC, s:  0.00355
smiles: COC(=O)CCO, s:  0.00352
smiles: CCOC(=O)OC, s:  0.00352
smiles: CCOOC(=O)C, s:  0.00350
