node ID: 1323, ground truth SMILE: C1=CC(=CC=C1C=O)O
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)[OH+][C-]=O, s:  0.00287
smiles: C1=CC=C(C=C1)OC=O, s:  0.00284
smiles: [CH]CC(=O)C1=CC=CO1, s:  0.00284
smiles: C1=CC=C(C(=O)C=C1)O, s:  0.00284
smiles: C1=CC=C(C(=C1)C=O)O, s:  0.00283
smiles: C=C(C=O)C1=CC=CO1, s:  0.00283
smiles: C1=CC=C(C=C1)C(=O)O, s:  0.00283
smiles: [H+].C1=CC=C(C=C1)C(=O)[O-], s:  0.00280
smiles: C1=CC(=CC(=C1)O)C=O, s:  0.00280
smiles: C1=CC(=CC(=O)C=C1)O, s:  0.00280
node ID: 2704, ground truth SMILE: CN(C)C(=O)NC1=CC=CC=C1
top 10 test cadidates: 
smiles: CN(C)C(=O)NC1=CC=CC=C1, s:  0.00024
smiles: CC(=O)N(C)NC1=CC=CC=C1, s:  0.00022
smiles: CCC(=O)NC1=CC=C(C=C1)N, s:  0.00022
smiles: CN(C)C(=O)C1=CC=C(C=C1)N, s:  0.00022
smiles: C[C@H](C(=O)NC1=CC=CC=C1)N, s:  0.00022
smiles: CC(C(=O)NC1=CC=CC=C1)N, s:  0.00022
smiles: C[C@@H](C(=O)NC1=CC=CC=C1)N, s:  0.00022
smiles: C[C@@H](C(=O)N)NC1=CC=CC=C1, s:  0.00022
smiles: C[C@H](C(=O)N)NC1=CC=CC=C1, s:  0.00022
smiles: CC(C(=O)N)NC1=CC=CC=C1, s:  0.00022
node ID: 2673, ground truth SMILE: CC(=NCCC1=CC=NC=C1)N
top 10 test cadidates: 
smiles: CCN(C1=CC=CC=C1)C(=N)N, s:  0.00024
smiles: CCC(=N)N(C1=CC=CC=C1)N, s:  0.00024
smiles: CN(CC(=N)N)C1=CC=CC=C1, s:  0.00024
smiles: CN(C)C1=CC=CC(=C1)C(=N)N, s:  0.00023
smiles: C/C(=C/N(C1=CC=CC=C1)N)/N, s:  0.00023
smiles: CN(CC1=CC=CC=C1)C(=N)N, s:  0.00023
smiles: CN(C)/N=C(\C1=CC=CC=C1)/N, s:  0.00023
smiles: CN(C)N=C(C1=CC=CC=C1)N, s:  0.00023
smiles: CN(C)/N=C(/C1=CC=CC=C1)\N, s:  0.00023
smiles: CN(C)C1=CC=CC=C1C(=N)N, s:  0.00023
node ID: 1766, ground truth SMILE: C1=CC(=CC(=C1)N)C(=O)N
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)NC(=O)N, s:  0.00055
smiles: C1=CC=C(C(=C1)C(=O)N)N, s:  0.00054
smiles: C1=CC=C(C=C1)N(C=O)N, s:  0.00054
smiles: CC1=NC(=CC=C1)C(=O)N, s:  0.00053
smiles: C1=CC=NC(=C1)CC(=O)N, s:  0.00053
smiles: CN(C1=CC=CC=C1)N=O, s:  0.00053
smiles: C1=CC=C(C=C1)N(C=N)O, s:  0.00053
smiles: C1=CC=C(C=C1)NNC=O, s:  0.00053
smiles: C1=CC(=CC(=C1)N)C(=O)N, s:  0.00053
smiles: C1=CC(=CC=C1C(=O)N)N, s:  0.00053
node ID: 5758, ground truth SMILE: CCCCC(CC)CNCC(CC)CCCC
top 10 test cadidates: 
smiles: CCCCC(CC)CNCC(CC)CCCC, s:  0.00099
smiles: CCCC[C@H](CC)CNC[C@@H](CC)CCCC, s:  0.00099
smiles: CCCC[C@@H](CC)CNC[C@H](CC)CCCC, s:  0.00099
smiles: CCCC[C@@H](CC)CNCC(CC)CCCC, s:  0.00099
smiles: CCCC[C@@H](CC)CNC[C@@H](CC)CCCC, s:  0.00099
smiles: CCCCC(CC)CNCC(C(C)C)C(C)C, s:  0.00093
smiles: CCCCCC(C)CNCC(CC)CCCC, s:  0.00092
smiles: CCCCC(CC)CCC(CC)CNCCC, s:  0.00092
smiles: CCCCCCCCNCC(CC)CCCC, s:  0.00092
smiles: CCCCCCCCC(CC)CNCC(C)C, s:  0.00091
node ID: 4532, ground truth SMILE: CCCCCCCCCCCCCCN
top 10 test cadidates: 
smiles: CCCCCCCCCCCCCCN, s:  0.00069
smiles: CCCCC(CC)CNCC(CC)CC, s:  0.00069
smiles: CCCCCCCC(CC)CCCCN, s:  0.00066
smiles: CCCCCCNCC(CC)CCCC, s:  0.00066
smiles: CCCCCCC(CC)CNCC(C)C, s:  0.00065
smiles: CCCCCCCCC(CC)CNCC, s:  0.00065
smiles: CCCCCCC(CCCC)CCCN, s:  0.00065
smiles: CCCCC(CC)CNC[C@@H](C)C(C)C, s:  0.00065
smiles: CCCCC(CC)CNCC(C)CCC, s:  0.00065
smiles: CCCCC(CC)CNCC(C)C(C)C, s:  0.00065
node ID: 6385, ground truth SMILE: CCCCCCCCCCCCCCCC(=O)N
top 10 test cadidates: 
smiles: CCCCCCCCCCCCCCCC(=O)N, s:  0.00039
smiles: CCCCCCCCC(C)CCCCCC(=O)N, s:  0.00033
smiles: CCCCCCCCCCCCCCC(=O)CN, s:  0.00031
smiles: CCCCCCCCCC(CC)CCCC(=O)N, s:  0.00031
smiles: CCCCCCCCCCCCCC(=O)CCN, s:  0.00031
smiles: CCCCCCC(CCCCCC)CCC(=O)N, s:  0.00031
smiles: CCCCCCCCCCCCC(=O)CCCN, s:  0.00031
smiles: CCCCCCCCCCCCCC(=O)C(C)N, s:  0.00031
smiles: CCCCCCCCCC(C)(C)CCCC(=O)N, s:  0.00031
smiles: CCC(CC)CCCCCCCCCCC(=O)N, s:  0.00031
node ID: 5443, ground truth SMILE: CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O
top 10 test cadidates: 
smiles: CCCCCCCCC1=CC2=C(C=C1)OCO2, s:  0.00009
smiles: CC(C)CC(C1=CC2=C(C=C1)OCO2)C(C)C, s:  0.00009
smiles: C[C@@H](CCC(C)C)CC1=CC2=C(C=C1)OCO2, s:  0.00009
smiles: CC(C)(C)CC(C)(C)C1=CC2=C(C=C1)OCO2, s:  0.00009
smiles: CC(C)[C@@H](C1=CC2=C(C=C1)OCO2)C(C)(C)C, s:  0.00009
